,State,Price
0,Alabama,3.99
1,Alaska,4.87
2,Arizona,4.43
3,Arkansas,3.95
4,California,5.11
5,Colorado,4.59
6,Connecticut,4.95
7,Delaware,4.63
8,Florida,4.47
9,Georgia,4.15
10,Hawaii,5.31
11,Idaho,4.23
12,Illinois,4.55
13,Indiana,4.11
14,Iowa,4.07
15,Kansas,4.07
16,Kentucky,4.03
17,Louisiana,4.15
18,Maine,4.47
19,Maryland,5.03
20,Massachusetts,4.87
21,Michigan,4.27
22,Minnesota,4.43
23,Mississippi,3.91
24,Missouri,3.99
25,Montana,4.27
26,Nebraska,4.07
27,Nevada,4.43
28,New Hampshire,4.83
29,New Jersey,5.19
30,New Mexico,4.31
31,New York,5.23
32,North Carolina,4.15
33,North Dakota,4.11
34,Ohio,4.03
35,Oklahoma,4.07
36,Oregon,4.47
37,Pennsylvania,4.47
38,Rhode Island,4.47
39,South Carolina,4.11
40,South Dakota,3.99
41,Tennessee,4.11
42,Texas,4.39
43,Utah,4.39
44,Vermont,4.59
45,Virginia,4.67
46,Washington,4.67
47,West Virginia,4.03
48,Wisconsin,4.19
49,Wyoming,4.35
